Date,AAPL,AMZN,BAC,CSCO,GOOG,HD,INTC,JNJ,JPM,MCD,MRK,MSFT,NFLX,NKE,PFE,T,UNH,VZ,WFC,BRK-B
7/10/2019,201.3768158,2017.410034,28.491642,55.75810623,1140.47998,206.7563324,47.39118958,138.313385,110.260849,209.2211914,83.0005188,136.5536041,381,86.74703979,42.79661942,32.29270935,244.3167725,55.23790741,45.69554901,214.029999
7/11/2019,199.9103088,2001.069946,28.8254528,55.92402267,1144.209961,209.9839783,47.77456665,137.2359467,111.3144836,208.916687,79.2624588,137.0984039,379.5,87.59030151,41.7475853,32.00574875,257.8219299,55.1603775,45.68585205,213.169998
7/12/2019,201.4461823,2011,28.91381454,56.55841446,1144.900024,214.0945892,49.07214737,131.5451202,112.4851837,209.2113647,78.01970673,137.5937042,373.25,88.41372681,41.18421936,32.18749237,262.5013428,55.4220314,45.89907074,214.100006
7/15/2019,203.3387604,2020.98999,28.68800163,56.65601349,1150.339966,214.5556641,49.26874924,131.9467163,111.1193619,210.409729,79.22332001,137.5937042,366.6000061,88.77087402,41.52418137,32.24488449,262.5606079,55.79997635,45.26911926,213.539993
7/16/2019,202.6352234,2009.900024,28.46218681,56.23633575,1153.579956,213.1429749,48.33488083,129.7820435,112.3095856,209.9284058,79.83979797,135.7908173,365.9899902,87.89784241,41.62131119,32.1205368,261.2772217,55.63523483,43.90261078,212.880005
7/17/2019,201.4957123,1992.030029,28.65855026,55.83618164,1146.349976,211.524231,48.55115128,129.1551819,111.2071686,209.9185791,80.16272736,134.9884491,362.4400024,86.80656433,41.51446915,31.81443787,263.2417297,55.45110703,43.81539154,207.449997
